,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
219,Nc'Nean Quiet Rebels Lorna,48.5,70,69.95
220,Royal Brackla 12 Year Old,46,70,59.95
221,Glen Garioch 15 Year Old Sherry Cask,53.7,70,99.95
222,Singleton of Glen Ord 15 Year Old,54.2,70,120
223,Glenmorangie 15 Year Old The Cadboll Estate,43,70,71.95
224,Dalmore 21 Year Old,43.8,70,575
225,Glencadam Origin 1825,40,70,29.95
226,AnCnoc 18 Year Old,46,70,93.95
227,Of The Year Gift Collection 2022,45.8,210,150
228,Fettercairn 16 Year Old,46.4,70,64.95
229,Deanston 1995,50.2,70,158
230,Isle of Raasay Single Malt Batch R-02.x,46.4,70,48.95
231,Old Pulteney 15 Year Old,46,70,69.25
232,Tomatin Cask Strength Edition,57.5,70,53.95
233,Tomatin 12 Year Old,43,70,42.45
234,Deanston Virgin Oak,46.3,70,35.25
235,Glengoyne 12 Year Old,43,70,41.95
236,Glen Garioch Founder's Reserve,48,70,37.95
237,Teaninich 2007,56.3,70,99.95
238,Glenturret 10 Year Old Peat Smoked,50,70,58.95
239,Edradour 2012,59.6,70,84.95
240,Aberfeldy Tasting Collection,42,60,65.95
241,Loch Lomond 12 Year Old,46,20,20.95
242,Dalmore 18 Year Old,43,70,295
243,Aberfeldy 16 Year Old,40,70,63.25
244,Ballechin 10 Year Old,46,70,49.75
245,Glenglassaugh Revival,46,70,38.45
246,Glengoyne 10 Year Old,40,70,37.95
247,Fettercairn 18 Year Old,46.8,70,165
248,Dalmore 2003,46.9,70,350
249,Ballechin 2009,58,50,68.45
250,Glengoyne The Legacy Series Chapter Three,48,70,59.95
251,Glendronach 10 Year Old,43,100,67.95
252,Loch Lomond 18 Year Old,46,20,30.95
253,Blackstrap Cove Double Cask,46,70,39.95
254,Inchmoan 2007,54.9,70,84.95
255,Loch Lomond The Open Special Edition 2022,46,70,48.95
256,Glencadam 15 Year Old,46,70,59.95
257,Glen Ord 2008,46,70,44.25
258,Glencadam 2011,61.5,70,67.95
259,Singleton of Glen Ord 15 Year Old,54.2,20,37.95
260,Tomatin 2006,46,70,86.95
261,Tomatin 2006,46,70,86.95
262,Balblair 2005,48.5,70,145
263,Loch Lomond 2010,57.7,70,62.95
264,Glenmorangie Allta,51.2,70,78.95
265,Loch Lomond The Open Special Edition 2022,46,70,42.95
266,Tullibardine 228,43,70,39.95
267,Isle of Raasay Distillery Special Release,52,70,84.95
268,Glengoyne Cask Strength,59.6,70,69.95
269,Glencadam American Oak,40,70,28.95
270,Pulteney 2002,50,70,146
271,Edradour Ballechin Double Malt 2013,46,70,49.95
272,Ardmore 2010,46,70,47.45
273,Fettercairn 2015 Warehouse 2,48.5,70,56.95
274,Cu Bocan Creation 4,46,70,59.95
275,Glenmorangie Barrel Select Release 13 Year Old,46,70,73.25
276,Croftengea 2006,52.6,70,74.95
277,Loch Lomond 12 Year Old Collection,46,60,52.95
278,Royal Lochnagar Selected Reserve,43,70,180
279,Arran 10 Year Old,46,70,38.75
280,Scapa 2003,56.7,70,225
281,Talisker 2011 Distillers Edition,45.8,70,62.75
282,Classic Malts Coastal Collection,44.9,60,37.75
283,Highland Park 12 Year Old,40,70,33.45
284,Talisker 10 Year Old,45.8,70,44.95
285,Ledaig 10 Year Old,46.3,70,42.75
