,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
279,Tomatin 2006,46,70,86.95
280,Ledaig 18 Year Old,46.3,70,79.95
281,Classic Malts Coastal Collection,44.9,60,43.95
282,Arran 10 Year Old,46,70,38.75
283,Talisker 10 Year Old,45.8,70,44.95
284,Scapa 2003,56.7,70,225
285,Ledaig 10 Year Old,46.3,70,42.75
286,Highland Park 12 Year Old,40,70,33.45
287,Ledaig Rioja Cask Finish,46.3,70,34.45
288,Arran Sherry Cask,55.8,70,55.75
289,Tobermory 12 Year Old,46.3,70,46.95
290,Talisker Port Ruighe,45.8,70,51.95
291,Talisker 11 Year Old,55.1,70,110
292,Jura Journey,40,70,25.45
293,Highland Park Cask Strength,64.1,70,59.95
294,Torabhaig Legacy Series Allt Glean,46,70,50.75
295,Jura 18 Year Old,44,70,71.95
296,Arran Machrie Moor Cask Strength,56.2,70,51.75
297,Arran Barrel Reserve,43,70,33.95
298,Jura 12 Year Old,40,70,34.95
299,Jura 10 Year Old,40,70,30.95
300,Talisker Storm,45.8,70,44.95
301,Scapa Glansa,40,70,43.95
302,Scapa Skiren,40,70,41.95
303,Of The Year Gift Collection 2023,44,210,175
304,Ledaig 18 Year Old,46.3,70,79.95
305,Classic Malts Coastal Collection,44.9,60,43.95
306,Arran 10 Year Old,46,70,38.75
307,Talisker 10 Year Old,45.8,70,44.95
308,Scapa 2003,56.7,70,225
309,Ledaig 10 Year Old,46.3,70,42.75
310,Highland Park 12 Year Old,40,70,33.45
311,Ledaig Rioja Cask Finish,46.3,70,34.45
312,Arran Sherry Cask,55.8,70,55.75
313,Tobermory 12 Year Old,46.3,70,46.95
314,Talisker Port Ruighe,45.8,70,51.95
315,Talisker 11 Year Old,55.1,70,110
316,Jura Journey,40,70,25.45
317,Highland Park Cask Strength,64.1,70,59.95
318,Torabhaig Legacy Series Allt Glean,46,70,50.75
319,Jura 18 Year Old,44,70,71.95
320,Arran Machrie Moor Cask Strength,56.2,70,51.75
321,Arran Barrel Reserve,43,70,33.95
322,Jura 12 Year Old,40,70,34.95
323,Jura 10 Year Old,40,70,30.95
324,Talisker Storm,45.8,70,44.95
325,Scapa Glansa,40,70,43.95
326,Scapa Skiren,40,70,41.95
327,Of The Year Gift Collection 2023,44,210,175
328,Highland Park 15 Year Old,44,70,79.95
329,Talisker Dark Storm,45.8,100,70.75
330,Talisker Skye,45.8,70,41.75
331,Highland Park Dark Origins,46.8,70,89.95
332,Highland Park 18 Year Old,43,70,115
333,Ledaig 2006,54.7,70,199
